,CB Link ID,Borough,Latitude,Longitude,Project Status,Active_date,Install_date,neighborhood,Census Tract (CT),IxN Corner,Location,year
480,LINK-013714,Manhattan,40.739852,-73.979327,Live,2019-01-16,2018-08-09,Murray Hill-Kips Bay,1006600.0,NE,"(40.73985154, -73.97932655)",2018
481,LINK-010852,Manhattan,40.800592,-73.961745,Live,2018-03-08,2017-08-25,Morningside Heights,1019300.0,NE,"(40.80059158, -73.9617454)",2017
482,LINK-001140,Queens,40.734545,-73.874705,Live,2016-12-29,2016-11-05,Elmhurst,4047500.0,SE,"(40.73454516, -73.87470458)",2016
484,LINK-000042,Brooklyn,40.669731,-73.985958,Live,2017-04-03,2017-02-23,Park Slope-Gowanus,3013700.0,SW,"(40.66973105, -73.98595804)",2017
485,LINK-000981,Manhattan,40.785135,-73.979246,Live,2016-11-02,2016-10-14,Upper West Side,1016700.0,SW,"(40.78513453, -73.97924562)",2016
486,LINK-019365,Brooklyn,40.678818,-73.949579,Live,2017-05-31,2017-05-06,Crown Heights North,3024700.0,NE,"(40.678818, -73.949579)",2017
487,LINK-012631,Manhattan,40.744407,-73.983132,Live,2018-04-24,2018-02-17,Murray Hill-Kips Bay,1007200.0,SE,"(40.74440678, -73.98313231)",2018
488,LINK-020927,Queens,40.752348,-73.9266,Live,2018-04-23,2018-03-09,Queensbridge-Ravenswood-Long Island City,4005500.0,SW,"(40.75234817, -73.92659983)",2018
489,LINK-003249,Manhattan,40.719907,-73.994066,Live,2016-08-19,2016-07-12,Chinatown,1001800.0,SE,"(40.71990707, -73.99406649)",2016
490,LINK-014433,Manhattan,40.772373,-73.964839,Live,2020-11-24,2018-02-17,Upper East Side-Carnegie Hill,1013000.0,SE,"(40.77237316, -73.96483887)",2018
491,LINK-012689,Manhattan,40.765789,-73.990852,Live,2017-11-08,2017-09-23,Clinton,1013300.0,SE,"(40.76578851, -73.99085201)",2017
492,LINK-000184,Manhattan,40.748539,-73.988218,Live,2017-06-19,2017-04-01,Midtown-Midtown South,1007600.0,NW,"(40.74853941, -73.98821846)",2017
493,LINK-003916,Manhattan,40.778381,-73.981665,Live,2017-02-27,2017-01-27,Lincoln Square,1015700.0,SE,"(40.778381, -73.981665)",2017
494,LINK-001820,Queens,40.706357,-73.792205,Live,2016-09-28,2016-08-18,Jamaica,4044400.0,SE,"(40.70635736, -73.79220518)",2016
495,LINK-011214,Manhattan,40.750458,-73.971893,Live,2018-02-16,2017-11-11,Turtle Bay-East Midtown,1008800.0,SW,"(40.75045756, -73.97189334)",2017
496,LINK-000612,Manhattan,40.742139,-73.983048,Live,2017-10-06,2017-02-04,Gramercy,1006800.0,NW,"(40.742139, -73.983048)",2017
498,LINK-001787,Bronx,40.853043,-73.905552,Live,2016-07-01,2016-06-09,Mount Hope,2024100.0,SE,"(40.85304298, -73.90555222)",2016
499,LINK-000857,Manhattan,40.773727,-73.957965,Live,2016-03-30,2016-03-02,Upper East Side-Carnegie Hill,1014000.0,NW,"(40.773727, -73.957965)",2016
502,LINK-013905,Manhattan,40.748772,-73.988673,Live,2016-11-11,2016-10-22,Midtown-Midtown South,1010100.0,MIDBLOCK,"(40.74877222, -73.98867303)",2016
503,LINK-012814,Manhattan,40.789182,-73.970075,Live,2018-06-05,2018-02-14,Upper West Side,1017700.0,NE,"(40.78918247, -73.97007535)",2018
504,LINK-012181,Manhattan,40.736806,-73.993513,Live,2018-05-09,2017-09-23,Hudson Yards-Chelsea-Flatiron-Union Square,1005400.0,MIDBLOCK,"(40.736806, -73.993513)",2017
505,LINK-011295,Manhattan,40.835729,-73.940075,Live,2016-12-02,2016-10-22,Washington Heights South,1024500.0,SW,"(40.835729, -73.940075)",2016
506,LINK-011111,Manhattan,40.787698,-73.971413,Live,2018-04-30,2018-02-26,Upper West Side,1017300.0,SW,"(40.78769783, -73.97141311)",2018
507,LINK-013760,Manhattan,40.761993,-73.959998,Live,2020-12-08,2017-12-08,Lenox Hill-Roosevelt Island,1010602.0,SE,"(40.76199324, -73.95999822)",2017
508,LINK-000860,Manhattan,40.77435,-73.95709,Live,2016-03-30,2016-02-26,Yorkville,1013800.0,NE,"(40.77435, -73.95709)",2016
509,LINK-010338,Queens,40.758591,-73.918016,Live,2017-07-10,2017-05-12,Astoria,4015500.0,NE,"(40.75859125, -73.91801561)",2017
510,LINK-014647,Manhattan,40.819293,-73.941018,Live,2020-11-06,2018-02-25,Central Harlem North-Polo Grounds,1023000.0,NW,"(40.8192929, -73.94101785)",2018
511,LINK-007149,Manhattan,40.763996,-73.984719,Live,2016-11-21,2016-10-15,Midtown-Midtown South,1013100.0,SE,"(40.76399635, -73.98471931)",2016
512,LINK-000242,Manhattan,40.735348,-73.985846,Live,2016-01-19,2015-12-28,Gramercy,1005000.0,NW,"(40.73534819, -73.98584567)",2015
513,LINK-018148,Queens,40.740727,-73.899864,Live,2017-03-20,2017-02-25,Woodside,4024500.0,SW,"(40.740727, -73.899864)",2017
514,LINK-001354,Bronx,40.867371,-73.897645,Live,2016-07-19,2016-07-01,Kingsbridge Heights,2026500.0,SW,"(40.86737055, -73.89764488)",2016
515,LINK-001785,Bronx,40.831467,-73.921747,Live,2016-06-15,2016-05-12,West Concourse,2019500.0,NW,"(40.831467, -73.921747)",2016
517,LINK-010826,Manhattan,40.753661,-73.969649,Live,2018-04-10,2018-01-27,Turtle Bay-East Midtown,1009000.0,SW,"(40.7536606, -73.96964871)",2018
518,LINK-000285,Manhattan,40.743494,-73.979907,Live,2017-08-03,2017-06-30,Murray Hill-Kips Bay,1007200.0,NW,"(40.74349362, -73.97990736)",2017
519,LINK-014407,Queens,40.748971,-73.870489,Live,2017-09-08,2017-07-22,Elmhurst,4046500.0,SW,"(40.74897101, -73.8704887)",2017
520,LINK-001194,Queens,40.744151,-73.929829,Live,2017-02-07,2016-11-05,Hunters Point-Sunnyside-West Maspeth,4017900.0,SE,"(40.744151, -73.929829)",2016
521,LINK-000453,Manhattan,40.742297,-74.00094,Live,2016-04-07,2016-03-18,Hudson Yards-Chelsea-Flatiron-Union Square,1008300.0,SW,"(40.742297, -74.00094)",2016
522,LINK-014179,Manhattan,40.747391,-73.986183,Live,2018-02-16,2017-01-21,Midtown-Midtown South,1007600.0,SW,"(40.74739113, -73.98618292)",2017
523,LINK-013347,Manhattan,40.816298,-73.946558,Live,2016-12-02,2016-10-29,Central Harlem North-Polo Grounds,1022800.0,SE,"(40.81629802, -73.94655805)",2016
524,LINK-002348,Brooklyn,40.678079,-73.908374,Live,2017-01-17,2016-12-22,Ocean Hill,3036900.0,SW,"(40.678079, -73.908374)",2016
525,LINK-021265,Brooklyn,40.71685,-73.960841,Live,2018-02-01,2017-11-22,North Side-South Side,3055300.0,SW,"(40.71684975, -73.96084076)",2017
526,LINK-018414,Staten Island,40.589908,-74.100904,Live,2017-05-25,2017-04-10,Old Town-Dongan Hills-South Beach,5011401.0,SE,"(40.58990771, -74.10090436)",2017
527,LINK-018155,Queens,40.741434,-73.907534,Live,2017-04-05,2017-03-11,Woodside,4024500.0,SE,"(40.74143396, -73.90753416)",2017
528,LINK-003312,Manhattan,40.760326,-73.983693,Live,2017-06-12,2017-05-13,Midtown-Midtown South,1012500.0,SE,"(40.76032636, -73.98369329)",2017
529,LINK-013711,Manhattan,40.741593,-73.978363,Live,2017-12-05,2017-10-07,Murray Hill-Kips Bay,1006600.0,SW,"(40.74159316, -73.97836301)",2017
530,LINK-000974,Manhattan,40.784608,-73.979776,Live,2016-11-21,2016-11-04,Upper West Side,1016700.0,SW,"(40.78460807, -73.97977572)",2016
531,LINK-010339,Queens,40.749606,-73.885072,Live,2017-11-08,2017-08-19,Jackson Heights,4028300.0,SE,"(40.7496063, -73.88507204)",2017
533,LINK-000480,Manhattan,40.757753,-73.989252,Live,2016-04-06,2016-03-11,Midtown-Midtown South,1011900.0,SE,"(40.757753, -73.989252)",2016
534,LINK-020557,Bronx,40.835734,-73.91396,Live,2018-08-02,2018-04-19,East Concourse-Concourse Village,2017902.0,NW,"(40.83573444, -73.91396042)",2018
535,LINK-021522,Brooklyn,40.662189,-73.996017,Live,2017-08-22,2017-07-15,Sunset Park West,3014500.0,NE,"(40.662189, -73.996017)",2017
536,LINK-010755,Manhattan,40.742234,-73.977895,Live,2018-02-15,2017-10-28,Murray Hill-Kips Bay,1007000.0,SW,"(40.74223411, -73.97789516)",2017
537,LINK-020659,Brooklyn,40.683436,-73.992773,Live,2017-10-23,2017-07-20,Carroll Gardens-Columbia Street-Red Hook,3007500.0,SW,"(40.68343607, -73.99277254)",2017
538,LINK-014393,Bronx,40.816188,-73.909917,Live,2018-06-26,2018-05-17,Melrose South-Mott Haven North,2007500.0,NW,"(40.81618821, -73.90991661)",2018
539,LINK-011373,Queens,40.693963,-73.851185,Live,2017-07-13,2017-06-03,Woodhaven,4002000.0,SE,"(40.69396285, -73.85118474)",2017
540,LINK-021921,Brooklyn,40.684061,-73.870537,Live,2017-11-21,2017-09-29,Cypress Hills-City Line,3118400.0,MIDBLOCK,"(40.68406084, -73.87053741)",2017
541,LINK-008689,Manhattan,40.748615,-73.992489,Live,2016-12-09,2016-10-08,Midtown-Midtown South,1010100.0,NW,"(40.74861534, -73.99248875)",2016
542,LINK-012396,Manhattan,40.729449,-73.984309,Live,2018-04-04,2017-04-02,East Village,1004000.0,SW,"(40.72944908, -73.98430909)",2017
543,LINK-013543,Queens,40.741991,-73.881065,Live,2017-08-24,2017-08-05,Elmhurst,4027100.0,NW,"(40.74199055, -73.88106477)",2017
544,LINK-000945,Manhattan,40.778607,-73.982178,Live,2016-05-24,2016-05-05,Lincoln Square,1015900.0,SW,"(40.77860683, -73.98217819)",2016
545,LINK-005427,Bronx,40.827356,-73.925223,Live,2016-07-19,2016-07-01,West Concourse,2006300.0,SW,"(40.82735593, -73.92522252)",2016
546,LINK-010328,Brooklyn,40.664166,-73.95092,Live,2017-04-13,2017-02-23,Crown Heights South,3031900.0,NE,"(40.66416648, -73.95091962)",2017
547,LINK-021263,Brooklyn,40.719404,-73.960474,Live,2018-02-14,2017-11-30,North Side-South Side,3055500.0,SW,"(40.71940433, -73.96047431)",2017
548,LINK-021512,Brooklyn,40.672242,-73.983627,Live,2017-10-27,2017-07-27,Park Slope-Gowanus,3013500.0,NE,"(40.67224181, -73.98362685)",2017
549,LINK-001505,Manhattan,40.794896,-73.971856,Live,2017-07-20,2017-06-19,Upper West Side,1018300.0,NW,"(40.79489566, -73.97185626)",2017
550,LINK-000883,Manhattan,40.779367,-73.953327,Live,2018-03-12,2017-10-07,Yorkville,1014602.0,SE,"(40.779367, -73.953327)",2017
551,LINK-001357,Queens,40.75337,-73.91232,Live,2017-10-18,2017-09-30,Astoria,4016300.0,NE,"(40.75336987, -73.91232033)",2017
552,LINK-001504,Manhattan,40.794462,-73.971573,Live,2016-11-23,2016-11-04,Upper West Side,1018300.0,SE,"(40.79446154, -73.97157309)",2016
553,LINK-000748,Manhattan,40.758633,-73.975341,Live,2017-05-26,2017-04-30,Midtown-Midtown South,1010200.0,NW,"(40.75863294, -73.97534075)",2017
554,LINK-001160,Queens,40.743877,-73.926926,Live,2017-02-21,2016-11-19,Hunters Point-Sunnyside-West Maspeth,4017900.0,SE,"(40.74387741, -73.92692611)",2016
555,LINK-000458,Manhattan,40.767271,-73.982247,Live,2016-03-30,2016-03-10,Midtown-Midtown South,1013700.0,SE,"(40.767271, -73.982247)",2016
556,LINK-010684,Manhattan,40.746426,-73.985816,Live,2017-06-05,2017-02-11,Midtown-Midtown South,1007400.0,SE,"(40.74642561, -73.98581619)",2017
557,LINK-012132,Bronx,40.810896,-73.921434,Live,2018-04-20,2018-01-14,Mott Haven-Port Morris,2003900.0,SE,"(40.81089649, -73.92143417)",2018
558,LINK-012113,Manhattan,40.801247,-73.961279,Live,2018-02-28,2017-12-12,Morningside Heights,1019300.0,NE,"(40.80124724, -73.96127853)",2017
559,LINK-000968,Manhattan,40.783191,-73.980253,Live,2016-05-12,2016-04-19,Upper West Side,1016700.0,NE,"(40.783191, -73.980253)",2016
560,LINK-010764,Manhattan,40.763385,-73.99287,Live,2017-12-04,2017-10-07,Clinton,1012900.0,NW,"(40.76338512, -73.99286971)",2017
561,LINK-002678,Manhattan,40.717828,-74.000962,Live,2016-09-06,2016-08-01,SoHo-TriBeCa-Civic Center-Little Italy,1003100.0,SE,"(40.717828, -74.000962)",2016
562,LINK-008229,Manhattan,40.721425,-73.993454,Live,2016-08-19,2016-07-22,Chinatown,1001800.0,SE,"(40.721425, -73.993454)",2016
563,LINK-000022,Brooklyn,40.63856,-73.953603,Live,2018-05-11,2017-12-18,Erasmus,3079000.0,NE,"(40.63855961, -73.95360324)",2017
564,LINK-010664,Manhattan,40.745596,-73.975446,Live,2018-04-10,2018-01-27,Murray Hill-Kips Bay,1007800.0,NW,"(40.74559596, -73.97544551)",2018
565,LINK-000879,Manhattan,40.778792,-73.953663,Live,2016-05-05,2016-04-23,Yorkville,1014602.0,NE,"(40.778792, -73.953663)",2016
566,LINK-007143,Manhattan,40.777227,-73.982777,Live,2016-08-03,2016-07-19,Lincoln Square,1015500.0,SW,"(40.777227, -73.982777)",2016
567,LINK-000301,Manhattan,40.74705,-73.977005,Live,2017-03-23,2017-02-04,Murray Hill-Kips Bay,1007800.0,NE,"(40.74705, -73.977005)",2017
568,LINK-001087,Brooklyn,40.651027,-73.946513,Live,2017-10-30,2017-06-27,Erasmus,3081800.0,NE,"(40.65102676, -73.94651287)",2017
569,LINK-000926,Manhattan,40.774723,-73.982005,Live,2016-07-19,2016-04-19,Lincoln Square,1015300.0,NE,"(40.77472311, -73.98200508)",2016
570,LINK-000166,Manhattan,40.760718,-73.984634,Live,2016-07-19,2016-05-26,Midtown-Midtown South,1012500.0,NW,"(40.7607176, -73.98463363)",2016
571,LINK-004817,Manhattan,40.810163,-73.958744,Live,2016-09-28,2016-07-30,Morningside Heights,1020300.0,NW,"(40.810163, -73.958744)",2016
573,LINK-014272,Manhattan,40.856421,-73.928415,Live,2018-02-20,2017-12-01,Washington Heights North,1027700.0,E,"(40.85642084, -73.92841499)",2017
575,LINK-014670,Manhattan,40.847197,-73.935148,Live,2018-04-24,2017-12-06,Washington Heights South,1026100.0,SE,"(40.8471969, -73.9351479)",2017
576,LINK-018062,Brooklyn,40.685787,-73.97332,Live,2017-03-24,2017-03-02,Fort Greene,3018100.0,MIDBLOCK,"(40.685787, -73.97332)",2017
577,LINK-012715,Manhattan,40.754695,-73.965406,Live,2018-05-02,2018-01-24,Turtle Bay-East Midtown,1008603.0,NE,"(40.75469528, -73.96540561)",2018
578,LINK-001610,Manhattan,40.80528,-73.96567,Live,2017-11-03,2017-09-25,Morningside Heights,1019900.0,SE,"(40.80527964, -73.96566952)",2017
579,LINK-018398,Bronx,40.86487,-73.8928,Live,2017-10-26,2017-06-24,Bedford Park-Fordham North,2039901.0,SE,"(40.86487, -73.8928)",2017
580,LINK-000524,Manhattan,40.7555,-73.991425,Live,2016-04-11,2016-03-19,Clinton,1011500.0,NW,"(40.7555, -73.991425)",2016
581,LINK-018209,Queens,40.742287,-73.953336,Live,2017-03-22,2017-03-04,Hunters Point-Sunnyside-West Maspeth,4000700.0,MIDBLOCK,"(40.74228717, -73.95333647)",2017
582,LINK-000027,Brooklyn,40.728133,-73.953439,Live,2017-04-14,2017-03-31,Greenpoint,3056100.0,NW,"(40.728133, -73.953439)",2017
583,LINK-013348,Manhattan,40.822924,-73.941723,Live,2016-10-19,2016-10-03,Central Harlem North-Polo Grounds,1023200.0,NE,"(40.822924, -73.941723)",2016
584,LINK-000949,Manhattan,40.780019,-73.981396,Live,2017-10-16,2017-07-07,Lincoln Square,1015900.0,SE,"(40.78001947, -73.98139599)",2017
585,LINK-003235,Manhattan,40.728027,-73.987965,Live,2016-09-13,2016-07-20,East Village,1003800.0,NE,"(40.728027, -73.987965)",2016
587,LINK-010811,Manhattan,40.742081,-73.993261,Live,2018-07-06,2018-02-12,Hudson Yards-Chelsea-Flatiron-Union Square,1005800.0,SE,"(40.74208082, -73.99326129)",2018
588,LINK-010262,Manhattan,40.812656,-73.949489,Live,2016-11-16,2016-10-14,Central Harlem North-Polo Grounds,1021500.0,SW,"(40.81265566, -73.94948944)",2016
589,LINK-013757,Manhattan,40.753414,-73.966651,Live,2018-06-05,2017-12-07,Turtle Bay-East Midtown,1009800.0,NW,"(40.75341389, -73.96665144)",2017
590,LINK-000194,Manhattan,40.734127,-73.989778,Live,2016-11-10,2016-10-22,East Village,1004200.0,SE,"(40.73412708, -73.98977798)",2016
591,LINK-012649,Manhattan,40.736747,-73.981608,Live,2018-04-11,2017-09-25,Gramercy,1006400.0,NE,"(40.7367472, -73.98160829)",2017
592,LINK-011417,Queens,40.759199,-73.919649,Live,2017-05-18,2017-04-22,Astoria,4015500.0,SE,"(40.759199, -73.919649)",2017
593,LINK-021399,Queens,40.698095,-73.834847,Live,2017-09-01,2017-07-22,Richmond Hill,4012400.0,SW,"(40.69809542, -73.83484675)",2017
595,LINK-000419,Manhattan,40.754951,-73.983899,Live,2018-04-03,2017-07-29,Midtown-Midtown South,1009600.0,NE,"(40.75495098, -73.98389868)",2017
597,LINK-000256,Manhattan,40.736332,-73.985123,Live,2016-04-27,2016-04-16,Gramercy,1005000.0,SW,"(40.73633169, -73.98512348)",2016
598,LINK-010430,Queens,40.747539,-73.885498,Live,2017-09-25,2017-08-19,Jackson Heights,4028300.0,NE,"(40.74753882, -73.88549761)",2017
599,LINK-011397,Bronx,40.823646,-73.91403,Live,2018-07-11,2018-06-05,Morrisania-Melrose,2014100.0,NE,"(40.82364629, -73.91402994)",2018
600,LINK-011133,Manhattan,40.740686,-73.997999,Live,2018-01-08,2017-10-15,Hudson Yards-Chelsea-Flatiron-Union Square,1008100.0,MIDBLOCK,"(40.74068566, -73.99799948)",2017
601,LINK-000501,Manhattan,40.749827,-73.995525,Live,2016-05-05,2016-04-19,Hudson Yards-Chelsea-Flatiron-Union Square,1010300.0,NW,"(40.74982748, -73.99552538)",2016
602,LINK-012438,Manhattan,40.743039,-73.977307,Live,2018-05-17,2018-02-24,Murray Hill-Kips Bay,1007000.0,NW,"(40.74303942, -73.97730732)",2018
604,LINK-001552,Manhattan,40.797702,-73.969244,Live,2017-06-27,2017-05-13,Upper West Side,1018700.0,SE,"(40.79770166, -73.96924393)",2017
605,LINK-021520,Brooklyn,40.664406,-73.993715,Live,2017-08-15,2017-07-15,Park Slope-Gowanus,3014300.0,NE,"(40.664406, -73.993715)",2017
606,LINK-011667,Bronx,40.862685,-73.907548,Live,2017-05-11,2017-04-07,Kingsbridge Heights,2025500.0,SE,"(40.862685, -73.907548)",2017
608,LINK-010357,Manhattan,40.808996,-73.952149,Live,2016-11-02,2016-10-14,Central Harlem South,1025700.0,NW,"(40.80899649, -73.95214914)",2016
609,LINK-000541,Manhattan,40.762331,-73.985923,Live,2016-04-27,2016-04-16,Midtown-Midtown South,1013100.0,NE,"(40.762331, -73.985923)",2016
610,LINK-010843,Manhattan,40.732308,-74.006415,Live,2017-01-18,2016-11-05,West Village,1007300.0,SE,"(40.73230778, -74.00641536)",2016
611,LINK-021089,Queens,40.77036,-73.918895,Live,2018-06-28,2018-05-19,Old Astoria,4006900.0,MIDBLOCK,"(40.77035989, -73.91889468)",2018
612,LINK-014184,Manhattan,40.784096,-73.974049,Live,2018-04-20,2018-02-14,Upper West Side,1016900.0,NW,"(40.78409642, -73.97404944)",2018
613,LINK-000825,Manhattan,40.762896,-73.965443,Live,2016-03-29,2016-03-05,Lenox Hill-Roosevelt Island,1011000.0,NE,"(40.762896, -73.965443)",2016
614,LINK-012406,Manhattan,40.774498,-73.963723,Live,2018-04-10,2018-01-27,Upper East Side-Carnegie Hill,1013000.0,NW,"(40.77449753, -73.96372269)",2018
615,LINK-000929,Manhattan,40.774759,-73.982512,Live,2016-07-19,2016-04-16,Lincoln Square,1015300.0,SW,"(40.77475903, -73.98251236)",2016
616,LINK-006035,Manhattan,40.830336,-73.943756,Live,2016-08-08,2016-07-19,Hamilton Heights,1023501.0,NE,"(40.83033563, -73.94375597)",2016
617,LINK-001364,Bronx,40.853028,-73.905076,Live,2017-06-13,2017-04-15,Mount Hope,2024100.0,NW,"(40.853028, -73.905076)",2017
618,LINK-020757,Brooklyn,40.734684,-73.955096,Live,2017-08-23,2017-06-30,Greenpoint,3056300.0,NW,"(40.734684, -73.955096)",2017
619,LINK-010336,Queens,40.760473,-73.922019,Live,2017-05-23,2017-03-25,Astoria,4006100.0,NE,"(40.76047267, -73.92201908)",2017
620,LINK-000283,Manhattan,40.743035,-73.980242,Live,2017-10-06,2017-06-30,Murray Hill-Kips Bay,1007200.0,SW,"(40.7430352, -73.98024173)",2017
621,LINK-013808,Manhattan,40.751274,-73.991069,Live,2018-03-27,2016-11-12,Midtown-Midtown South,1010900.0,NW,"(40.75127386, -73.99106942)",2016
622,LINK-006140,Brooklyn,40.676408,-73.96361,Live,2018-01-05,2017-09-23,Prospect Heights,3020500.0,SW,"(40.67640751, -73.96361018)",2017
624,LINK-020604,Bronx,40.812557,-73.926244,Live,2018-07-02,2018-01-14,Mott Haven-Port Morris,2005100.0,MIDBLOCK,"(40.81255748, -73.92624362)",2018
625,LINK-018071,Brooklyn,40.6822,-73.961648,Live,2017-05-19,2017-03-06,Clinton Hill,3020100.0,NW,"(40.68219957, -73.9616482)",2017
626,LINK-019371,Brooklyn,40.662438,-73.950605,Live,2017-06-14,2017-05-06,Prospect Lefferts Gardens-Wingate,3032900.0,NE,"(40.662438, -73.950605)",2017
627,LINK-013747,Manhattan,40.743962,-73.985428,Live,2017-10-25,2017-08-12,Midtown-Midtown South,1007400.0,NE,"(40.74396179, -73.98542849)",2017
628,LINK-013014,Bronx,40.847574,-73.900766,Live,2017-06-13,2017-05-06,Mount Hope,2023100.0,SE,"(40.8475737, -73.90076644)",2017
629,LINK-010634,Manhattan,40.788705,-73.976411,Live,2017-11-15,2017-09-10,Upper West Side,1017500.0,NW,"(40.7887051, -73.97641054)",2017
630,LINK-010832,Manhattan,40.744154,-73.97619,Live,2018-03-09,2017-10-28,Murray Hill-Kips Bay,1007000.0,NE,"(40.744154, -73.97619)",2017
632,LINK-002682,Manhattan,40.716033,-74.00257,Live,2016-07-21,2016-07-12,SoHo-TriBeCa-Civic Center-Little Italy,1003100.0,SE,"(40.716033, -74.00257)",2016
633,LINK-000398,Manhattan,40.764513,-73.977195,Live,2017-05-08,2017-02-18,Midtown-Midtown South,1013700.0,NW,"(40.76451317, -73.97719468)",2017
634,LINK-018085,Brooklyn,40.649115,-73.958291,Live,2017-05-31,2017-05-06,Erasmus,3079400.0,MIDBLOCK,"(40.649115, -73.958291)",2017
635,LINK-019903,Queens,40.745761,-73.889451,Live,2017-10-04,2017-08-05,Elmhurst,4026700.0,SW,"(40.74576092, -73.88945075)",2017
636,LINK-000986,Manhattan,40.785613,-73.978439,Live,2017-07-20,2017-06-19,Upper West Side,1016700.0,SE,"(40.78561298, -73.97843851)",2017
637,LINK-014623,Manhattan,40.7451,-73.978821,Live,2019-01-18,2018-05-19,Hudson Yards-Chelsea-Flatiron-Union Square,1011700.0,SW,"(40.74509981, -73.97882096)",2018
638,LINK-000114,Manhattan,40.743203,-73.989206,Live,2016-12-05,2016-10-29,Hudson Yards-Chelsea-Flatiron-Union Square,1005800.0,SW,"(40.74320284, -73.98920582)",2016
639,LINK-003232,Manhattan,40.72848,-73.987876,Live,2016-09-15,2016-09-02,East Village,1003800.0,SW,"(40.72848039, -73.98787592)",2016
640,LINK-021683,Brooklyn,40.681039,-73.97573,Live,2017-08-15,2017-07-20,Park Slope-Gowanus,3012902.0,MIDBLOCK,"(40.68103872, -73.97573017)",2017
641,LINK-000092,Manhattan,40.76583,-73.983368,Live,2016-08-03,2016-07-19,Midtown-Midtown South,1013700.0,SE,"(40.76582962, -73.98336787)",2016
642,LINK-011500,Bronx,40.813128,-73.908991,Live,2018-06-25,2018-05-17,Mott Haven-Port Morris,2003500.0,SE,"(40.81312832, -73.90899141)",2018
643,LINK-012642,Manhattan,40.764456,-73.99182,Live,2018-04-30,2017-10-07,Clinton,1012700.0,MIDBLOCK,"(40.76445589, -73.99181959)",2017
644,LINK-000805,Queens,40.704765,-73.79661,Live,2018-03-30,2016-08-27,Jamaica,4044601.0,SE,"(40.70476544, -73.79661024)",2016
645,LINK-013990,Manhattan,40.744114,-73.995892,Live,2018-01-03,2017-10-07,Hudson Yards-Chelsea-Flatiron-Union Square,1009100.0,SW,"(40.744114, -73.995892)",2017
646,LINK-013459,Brooklyn,40.65774,-73.950407,Live,2017-03-07,2017-02-17,Prospect Lefferts Gardens-Wingate,3080200.0,SW,"(40.65773965, -73.95040697)",2017
647,LINK-012859,Manhattan,40.758777,-73.96584,Live,2019-03-28,2018-05-12,Turtle Bay-East Midtown,1010800.0,NW,"(40.75877707, -73.9658397)",2018
648,LINK-021289,Brooklyn,40.710988,-73.968534,Live,2019-03-08,2018-06-05,North Side-South Side,3054900.0,NW,"(40.71098811, -73.96853381)",2018
649,LINK-018161,Queens,40.743312,-73.922401,Live,2017-03-20,2017-02-25,Hunters Point-Sunnyside-West Maspeth,4018102.0,SE,"(40.74331229, -73.92240124)",2017
650,LINK-014618,Manhattan,40.765119,-73.957694,Live,2018-06-15,2018-01-25,Lenox Hill-Roosevelt Island,1011600.0,SE,"(40.76511946, -73.95769383)",2018
651,LINK-000346,Manhattan,40.757851,-73.969436,Live,2017-10-25,2017-07-29,Turtle Bay-East Midtown,1010000.0,NW,"(40.75785145, -73.96943631)",2017
652,LINK-000141,Manhattan,40.749721,-73.988084,Live,2016-07-19,2016-04-30,Midtown-Midtown South,1010100.0,NW,"(40.74972091, -73.98808378)",2016
653,LINK-005402,Staten Island,40.57262,-74.113383,Live,2017-02-28,2016-12-20,New Dorp-Midland Beach,5012200.0,NE,"(40.57262, -74.113383)",2016
654,LINK-000801,Queens,40.704355,-73.797865,Live,2016-09-30,2016-08-19,Jamaica,4044601.0,NW,"(40.7043551, -73.79786531)",2016
655,LINK-000375,Manhattan,40.766148,-73.979721,Live,2017-07-12,2017-06-11,Midtown-Midtown South,1013700.0,SW,"(40.766148, -73.979721)",2017
656,LINK-013965,Manhattan,40.735187,-73.989871,Live,2016-11-21,2016-10-08,Gramercy,1005000.0,NE,"(40.735187, -73.989871)",2016
657,LINK-004820,Manhattan,40.811845,-73.957517,Live,2020-10-20,2018-05-01,Morningside Heights,1021100.0,W,"(40.811845, -73.957517)",2018
658,LINK-006882,Queens,40.717212,-73.835496,Live,2017-03-28,2017-03-11,Forest Hills,4076901.0,SW,"(40.71721235, -73.83549622)",2017
659,LINK-001609,Manhattan,40.804959,-73.965902,Live,2017-08-18,2017-07-18,Morningside Heights,1019900.0,MIDBLOCK,"(40.80495915, -73.9659025)",2017
660,LINK-013185,Manhattan,40.736141,-73.989183,Live,2018-02-09,2017-11-18,Gramercy,1005000.0,NE,"(40.736141, -73.989183)",2017
661,LINK-000227,Manhattan,40.733841,-73.986634,Live,2016-01-19,2015-12-28,Gramercy,1004800.0,SE,"(40.73384075, -73.98663439)",2015
662,LINK-000039,Brooklyn,40.664176,-73.990353,Live,2017-07-25,2017-06-27,Park Slope-Gowanus,3014100.0,NE,"(40.664176, -73.990353)",2017
663,LINK-003483,Manhattan,40.795951,-73.968849,Live,2016-10-10,2016-07-28,Upper West Side,1018500.0,NE,"(40.795951, -73.968849)",2016
664,LINK-008227,Manhattan,40.732039,-73.987938,Live,2017-04-10,2017-02-11,East Village,1004000.0,NE,"(40.732039, -73.987938)",2017
665,LINK-018037,Queens,40.733342,-73.870838,Live,2017-04-10,2017-03-11,Elmhurst,4047500.0,SW,"(40.7333421, -73.87083775)",2017
